"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 15:22:25 CST 2026","Thu Jul 16 15:22:26 CST 2026","1026","testcase","test_baike_entry","TestBaikeEntry","","","TC019-滚动页面后可快速返回页面头部",""
"passed","Thu Jul 16 15:20:53 CST 2026","Thu Jul 16 15:20:59 CST 2026","6047","testcase","test_baike_entry","TestBaikeEntry","","","TC008-词条正文内嵌图片正常加载无裂图",""
"passed","Thu Jul 16 15:23:01 CST 2026","Thu Jul 16 15:23:01 CST 2026","37","testcase","test_baike_entry","TestBaikeEntry","","","TC026-Chrome浏览器词条页面布局无错位变形",""
"passed","Thu Jul 16 15:20:44 CST 2026","Thu Jul 16 15:20:44 CST 2026","17","testcase","test_baike_entry","TestBaikeEntry","","","TC005-目录功能区域正常展示",""
"passed","Thu Jul 16 15:23:10 CST 2026","Thu Jul 16 15:23:10 CST 2026","15","testcase","test_baike_entry","TestBaikeEntry","","","TC028-词条正文主展示区域正常渲染",""
"passed","Thu Jul 16 15:22:43 CST 2026","Thu Jul 16 15:22:43 CST 2026","9","testcase","test_baike_entry","TestBaikeEntry","","","TC022-侧边栏相关词条推荐列表正常加载",""
"passed","Thu Jul 16 15:23:15 CST 2026","Thu Jul 16 15:23:21 CST 2026","6048","testcase","test_baike_entry","TestBaikeEntry","","","TC030-页面底部版权声明完整无截断",""
"passed","Thu Jul 16 15:22:12 CST 2026","Thu Jul 16 15:22:12 CST 2026","4","testcase","test_baike_entry","TestBaikeEntry","","","TC015-页面背景色与文字对比度正常",""
"passed","Thu Jul 16 15:21:00 CST 2026","Thu Jul 16 15:21:06 CST 2026","6039","testcase","test_baike_entry","TestBaikeEntry","","","TC009-正文内部词条超链接可点击跳转目标词条",""
"passed","Thu Jul 16 15:23:21 CST 2026","Thu Jul 16 15:23:22 CST 2026","1219","testcase","test_baike_entry","TestBaikeLogin","","","未登录点击登录按钮弹出登录弹窗",""
"passed","Thu Jul 16 15:23:02 CST 2026","Thu Jul 16 15:23:05 CST 2026","2437","testcase","test_baike_entry","TestBaikeEntry","","","TC027-浏览器窗口缩放页面自适应排版",""
"passed","Thu Jul 16 15:21:53 CST 2026","Thu Jul 16 15:21:59 CST 2026","6040","testcase","test_baike_entry","TestBaikeEntry","","","TC012-参考资料外部网址链接可正常访问",""
"passed","Thu Jul 16 15:22:15 CST 2026","Thu Jul 16 15:22:15 CST 2026","9","testcase","test_baike_entry","TestBaikeEntry","","","TC016-词条编辑按钮正常显示",""
"passed","Thu Jul 16 15:23:12 CST 2026","Thu Jul 16 15:23:12 CST 2026","4","testcase","test_baike_entry","TestBaikeEntry","","","TC029-页面无异常脚本错误",""
"passed","Thu Jul 16 15:20:38 CST 2026","Thu Jul 16 15:20:38 CST 2026","19","testcase","test_baike_entry","TestBaikeEntry","","","TC003-存在多级小标题时自动生成层级目录",""
"passed","Thu Jul 16 15:22:57 CST 2026","Thu Jul 16 15:22:59 CST 2026","2119","testcase","test_baike_entry","TestBaikeEntry","","","TC025-页面刷新词条内容不丢失错乱",""
"passed","Thu Jul 16 15:22:49 CST 2026","Thu Jul 16 15:22:54 CST 2026","5055","testcase","test_baike_entry","TestBaikeEntry","","","TC024-浏览器前进后退词条页面缓存正常",""
"passed","Thu Jul 16 15:22:22 CST 2026","Thu Jul 16 15:22:22 CST 2026","17","testcase","test_baike_entry","TestBaikeEntry","","","TC018-分享按钮正常展示可点击",""
"passed","Thu Jul 16 15:22:45 CST 2026","Thu Jul 16 15:22:47 CST 2026","2052","testcase","test_baike_entry","TestBaikeEntry","","","TC023-侧边相关词条点击跳转对应词条",""
"passed","Thu Jul 16 15:23:23 CST 2026","Thu Jul 16 15:23:25 CST 2026","2198","testcase","test_baike_entry","TestBaikeNavigation","","","点击顶部「创建词条」跳转词条编辑入驻引导页",""
"passed","Thu Jul 16 15:20:41 CST 2026","Thu Jul 16 15:20:42 CST 2026","1045","testcase","test_baike_entry","TestBaikeEntry","","","TC004-点击目录条目页面自动跳转对应正文位置",""
"passed","Thu Jul 16 15:20:46 CST 2026","Thu Jul 16 15:20:46 CST 2026","22","testcase","test_baike_entry","TestBaikeEntry","","","TC006-词条信息栏基础字段完整展示",""
"passed","Thu Jul 16 15:21:46 CST 2026","Thu Jul 16 15:21:52 CST 2026","6130","testcase","test_baike_entry","TestBaikeEntry","","","TC011-参考资料条目序号顺序展示无错乱",""
"passed","Thu Jul 16 15:22:09 CST 2026","Thu Jul 16 15:22:09 CST 2026","758","testcase","test_baike_entry","TestBaikeEntry","","","TC014-页面文字支持浏览器缩放功能",""
"passed","Thu Jul 16 15:20:36 CST 2026","Thu Jul 16 15:20:36 CST 2026","22","testcase","test_baike_entry","TestBaikeEntry","","","TC002-词条概述段落排版正常无文字重叠截断",""
"passed","Thu Jul 16 15:22:36 CST 2026","Thu Jul 16 15:22:42 CST 2026","6045","testcase","test_baike_entry","TestBaikeEntry","","","TC021-词条特殊符号正常渲染无乱码",""
"passed","Thu Jul 16 15:21:08 CST 2026","Thu Jul 16 15:21:14 CST 2026","6088","testcase","test_baike_entry","TestBaikeEntry","","","TC010-正文超链接打开方式符合页面设计规范",""
"passed","Thu Jul 16 15:22:01 CST 2026","Thu Jul 16 15:22:07 CST 2026","6073","testcase","test_baike_entry","TestBaikeEntry","","","TC013-超长词条滚动底部自动分段加载正文",""
"passed","Thu Jul 16 15:22:16 CST 2026","Thu Jul 16 15:22:18 CST 2026","2051","testcase","test_baike_entry","TestBaikeEntry","","","TC017-历史版本按钮点击可跳转词条版本记录页面",""
"passed","Thu Jul 16 15:20:33 CST 2026","Thu Jul 16 15:20:33 CST 2026","27","testcase","test_baike_entry","TestBaikeEntry","","","TC001-正常词条页面词条标题完整无乱码展示",""
"passed","Thu Jul 16 15:22:28 CST 2026","Thu Jul 16 15:22:34 CST 2026","6042","testcase","test_baike_entry","TestBaikeEntry","","","TC020-词条内嵌数据表格完整渲染",""
"passed","Thu Jul 16 15:20:50 CST 2026","Thu Jul 16 15:20:51 CST 2026","1070","testcase","test_baike_entry","TestBaikeEntry","","","TC007-多义词条标签切换加载不同正文内容",""
